,title,company,city,rating,salary
166,Data Scientist (CONTRACT / REMOTE),Universal Music Group,"Santa Monica, CA 90404 (Mid-City area)",4.1,
167,"Data Scientist, Point of Sale & Customers",Square,"Austin, TX",3.7,
168,Data Scientist,CommutAir,"North Olmsted, OH 44070",2.7,
169,Machine Learning Data Scientist,Itemize,"Nashville, TN 37219",,
170,Data Scientist,Staples,"Framingham, MA",3.5,
171,Data Scientist,Moorecroft Systems,Remote,,
172,Data Scientist/Developer I,Massachusetts General Hospital(MGH),"Boston, MA 02114 (West End area)",4.3,
173,Data Scientist,Qventus,Remote,,
174,Junior Data Scientist,"Othot, Inc.","Pittsburgh, PA 15220",,
175,Junior Data Scientist,Lull,Remote,2.6,
176,Data Scientist Intern,Ultra Mobile,"Costa Mesa, CA",4.1,
177,Data Scientist,CNA Insurance,"Chicago, IL 60604 (The Loop area)",3.6,
178,Data Scientist,Kharon,"Los Angeles, CA",,
179,Data Scientist,RiskIQ,California,4.2,
180,Data Scientist,Alpha Net Consulting,"Washington, DC",,
181,"Data Scientist(Machine Learning,Deep Learning,Python,R)- USC...",Brilliant Infotech,"Atlanta, GA",,$70 - $90 an hour
182,Data Scientist,Thyme Care,Remote,,
183,Data Scientist / Machine Learning Engineer,Energy Solutionss,"Palo Alto, CA",,$40 - $200 an hour
184,Data Scientist,Albertsons Companies,"Pleasanton, CA 94588",3.4,
185,Data Scientist,Corvus Insurance,"Austin, TX",,
186,Data Scientist,"Quality Insights, Inc.",Remote,,
187,Data Scientist,Metas Solutions,"Research Triangle Park, NC 27560",,
188,"Data Scientist - Machine Learning/AI - (US, Remote)",Dell Technologies,"Austin, TX",4.0,
189,Data Scientist,"Applied Systems, Inc.","Austin, TX 78701 (Downtown area)",3.2,
190,Data Scientist - II,Netomi,Remote,,
191,Data Scientist - Video Computer Vision,Apple,"Santa Clara Valley, CA 95014",4.2,
192,Data Scientist,Copart,"Dallas, TX 75254 (Far North area)",2.7,
193,Data Scientist,Eleks,"Chicago, IL",,
194,Data Scientist,Rambøll,"Brentwood, TN",4.0,
195,Associate Engineer (Data),"Parks, Experiences and Products","Lake Buena Vista, FL",4.2,
196,Data Scientist,Eleks,"Chicago, IL",,
197,Data Scientist,Hewlett Packard Enterprise,"Santa Clara, CA",3.8,
198,Machine Learning Engineer /Data Scientist /R&D Scientist/Sof...,Energy Solutionss,"San Antonio, TX 78223 (Highland Hills area)",,$50 - $200 an hour
199,Data Scientist,Copart,"Dallas, TX 75254 (Far North area)",2.7,
200,Data Scientist,Plymouth Rock Assurance,"Woodbridge, NJ 07095",3.8,
201,Data Scientist,Porch,"Seattle, WA 98134 (Industrial District area)",4.0,
202,Data Scientist,IBM,United States,3.9,
203,Data Scientist,Flipside Crypto,"Boston, MA",,
204,Data Scientist Intern,Ultra Mobile,"Costa Mesa, CA",4.1,
205,Data Scientist,Inspire,Remote,3.4,
206,Data Scientist,Metas Solutions,"Research Triangle Park, NC 27560",,
207,"Data Scientist - Need min 3 years US work experience, Python...",Simplex Info,Remote,,"$80,228 - $186,451 a year"
208,Data Scientist,Upwork,Remote,4.0,
209,Senior Data Scientist,IBM,"Austin, TX 73301 (St Edwards area)",3.9,
210,Data Scientist,University of California San Francisco,"San Francisco, CA 94143 (Haight-Ashbury area)",4.2,
211,Data Scientist / Machine Learning Engineer,Energy Solutionss,"Palo Alto, CA",,$40 - $200 an hour
212,Data Scientist,Babylon Health,"Austin, TX",3.8,
213,Data Scientist,SCHWAN'S,"Marshall, MN",3.1,
214,DDM ? Data Scientist,Biz2Credit Inc,"New York, NY 10119 (Chelsea area)",3.3,
215,Remote Data Scientist Use Talent for Good,Recruiting for Good,"Los Angeles, CA",,
216,Data Scientist,Ginkgo Bioworks,"Boston, MA 02210 (South Boston area)",2.7,
217,Data Scientist,BSI,United States,3.6,
218,Data Scientist,MGIC,Remote,4.1,
219,"Senior Data Scientist, 90-100% Telework",CloudPareto LLC,"Arlington, VA 22209 (North Rosslyn area)",,"$110,000 - $150,000 a year"
220,Senior Data Scientist - Nationwide Opportunities,"Amazon Web Services, Inc.",Remote,3.6,"$116,200 a year"
221,Data Scientist,Staples,"Framingham, MA",3.5,
222,Data Scientist or Data Engineer,Luminosity,"Saint Petersburg, FL 33701 (Downtown area)",4.5,"$45,000 - $100,000 a year"
223,Senior Data Scientist,Imperfect Foods,Remote,2.9,
224,Data Scientist - Analytics (Up to $125k + 100% Remote Option...,Hired Recruiters,"San Francisco, CA",,
225,Machine Learning Engineer /Data Scientist /R&D Scientist/Sof...,Energy Solutionss,"San Antonio, TX 78223 (Highland Hills area)",,$50 - $200 an hour
226,Early career data scientist / analyst / statistical genetici...,Data Tecnica,"Glen Echo, MD",,
227,Data Scientist (6256U) 16096,University of California Berkeley,"Berkeley, CA 94720",4.2,
228,Data Scientist,University of California San Francisco,"San Francisco, CA 94143 (Haight-Ashbury area)",4.2,
229,Data Scientist,Enable Data,"Minneapolis, MN 55414 (Prospect Park area)",,
230,Data Scientist,Dillard's,"Little Rock, AR 72201 (Riverdale area)",3.3,
231,Senior Data Scientist (Americas - Remote),Shopify,"New York, NY",3.9,
232,SR Data Scientist,Surya Systems,"San Francisco, CA",,
233,Senior Data Scientist,IBM,"Austin, TX 73301 (St Edwards area)",3.9,
234,Data Scientist,Power Digital Marketing,"San Diego, CA 92110",3.5,
235,Data Scientist,Noom US,"New York, NY",3.9,
236,Data Scientist,Pegasystems,Alabama,3.5,
237,Data Analyst/Scientist/Engineer,Cascade Data Labs (a subsidiary of Kin + Carta),"Portland, OR 97202 (Hosford-Abernethy area)",,"$65,000 - $120,000 a year"
238,Data Scientist,ISE Data Systems,"Reston, VA",,
239,Data Scientist,AIPlus Hiring Partner,"New York, NY",,"$80,000 - $150,000 a year"
240,Data Scientist,"Alto Neuroscience, Inc.","Los Altos, CA 94022",,
241,"Entry-Level Data Positions (Data Engineer, Machine Learning...",Citi,"Irving, TX 75062 (Northwest area)",3.9,
242,Data Scientist - Geospatial Software Developer,Semantisys,Remote,,"$131,000 - $151,000 a year"
243,Data Scientist,Unilever,"Trumbull, CT 06611",4.2,
244,Data Scientist (Remote Opportunity),VetsEZ,"Austin, TX",5.0,
245,Engineer I - Data Scientist,Ball Aerospace,"Westminster, CO 80021",3.8,"$76,000 - $94,500 a year"
246,Senior Data Scientist,Imperfect Foods,Remote,2.9,
247,Data Scientist Intern- Darwin,SparkCognition,"Austin, TX 78759 (Arboretum area)",4.4,
248,Data Scientist - Entry Level,LLNL,"Livermore, CA 94550",4.5,
249,Data Scientist - Intermediate,Bayer,"San Francisco, CA 94103 (South Of Market area)",4.2,
250,Data Scientist,Fama Technologies,Remote,,
251,"Data Scientist, Medical Diagnostics",Specific Diagnostics,"Mountain View, CA 94043",,
252,Chief Data Scientist,SportsBiz Group Inc,Remote,,"$150,000 - $190,000 a year"
253,Data Scientist,EA Langenfeld & Associates,"Mount Prospect, IL 60056",,"$80,000 - $100,000 a year"
254,Cloud Data Services Associate,PwC,"San Antonio, TX 78206 (King William area)",4.0,
255,Data Scientist - II,Netomi,Remote,,
256,"Data Scientist, Analytics-Remote Presence",Facebook,Remote,4.2,
257,Data Review Senior Scientist,Piper Companies,"Durham, NC",4.5,"$75,000 - $85,000 a year"
258,Data Scientist/Analyst (USC-W2 Only),PartnerCubed,"Atlanta, GA",,"$78,478 - $170,745 a year"
259,Public Policy Data Scientist,Metaculus,Remote,,"$80,000 - $120,000 a year"
260,Data Scientist,Zynga,"Austin, TX 78717",3.8,
261,Data Scientist - Senior Levels,FedEx Services,"Coraopolis, PA",3.8,
262,Data Scientist / Data Engineer,"DeepMap, Inc","Palo Alto, CA 94303",,
263,Research Data Scientist,Facebook,"Seattle, WA",4.2,
264,Data Scientist,Point Pickup,"Stamford, CT 06902 (Downtown area)",,
265,Data Scientist,Nexamp,"Boston, MA 02110 (Downtown Crossing area)",4.1,
266,Senior Data Scientist,dMASS,"Austin, TX 78701 (Downtown area)",,
267,Data Scientist,CDK Global,"Hoffman Estates, IL 60169",3.2,
268,Senior Applied/ Data Scientist w/ deep learning - NLP and Co...,Oracle,"Austin, TX 78741 (Riverside area)",3.8,
269,Principal Applied/ Data Scientist w/ deep learning - NLP and...,Oracle,"Austin, TX 78741 (Riverside area)",3.8,
270,Principal Applied/ Data Scientist (w/ deep learning - NLP an...,Oracle,"Austin, TX 78741 (Riverside area)",3.8,
271,Data Scientist,EA Langenfeld & Associates,"Mount Prospect, IL 60056",,"$80,000 - $100,000 a year"
272,Junior Data Scientist,Trinco,"Beltsville, MD 20705",,$18 - $40 an hour
273,Data Scientist (Freelance),Rauxa,"New York, NY 10281 (Battery Park area)",3.4,
274,Data Scientist,Photomath,"San Mateo, CA",,"From $100,000 a year"
275,Data Scientist,IBM,United States,3.9,
276,Junior Data Scientist,Dynetics,"Huntsville, AL",4.3,
277,Data Scientist - Neuroscience Institute,Careers | West Virginia University,"Morgantown, WV",4.2,
278,Data Scientist II,Homesite Insurance,"Boston, MA",3.2,"Up to $124,000 a year"
279,"Intern - Data Science, Marketing Analytics (10 weeks)",McKinsey & Company,"Atlanta, GA",4.3,
280,Data Scientist (6256U) 16096,University of California Berkeley,"Berkeley, CA 94720",4.2,
281,Data Scientist - Analytics (Up to $125k + 100% Remote Option...,Hired Recruiters,"San Francisco, CA",,
282,Data Scientist,Information Technology Strategies,Remote,,"From $80,724 a year"
283,Data Scientist,Tegria,Remote,,
284,Data Scientist,BSI,United States,3.6,
285,Data Scientist,Equifax,"Boise, ID 83702 (Harrison Blvd area)",3.5,
286,Sr. Data Scientist,TruU,"Boulder, CO",,
287,Principal Applied/ Data Scientist w/ deep learning - NLP and...,Oracle,"Austin, TX 78741 (Riverside area)",3.8,
288,Data Scientist/Analyst (USC-W2 Only),PartnerCubed,"Atlanta, GA",,"$78,478 - $170,745 a year"
289,Public Policy Data Scientist,Metaculus,Remote,,"$80,000 - $120,000 a year"
290,Data Scientist,Zynga,"Austin, TX 78717",3.8,
291,Data Scientist - Senior Levels,FedEx Services,"Coraopolis, PA",3.8,
292,Data Scientist / Data Engineer,"DeepMap, Inc","Palo Alto, CA 94303",,
293,Research Data Scientist,Facebook,"Seattle, WA",4.2,
294,Data Scientist,Point Pickup,"Stamford, CT 06902 (Downtown area)",,
295,Data Scientist,Power Digital Marketing,"San Diego, CA 92110",3.5,
296,Marketing Analytics Data Scientist,"JPMorgan Chase Bank, N.A.","Columbus, OH",3.9,
297,DATA SCIENTIST - GEOSPATIAL TECHNOLOGY,BCC Geospatial Center of the CUNY CREST Institute,Remote,,$15 - $25 an hour
298,Clinical Data Scientist,"LogicStream Health, Inc.","Minneapolis-Saint Paul, MN",,"$90,000 - $120,000 a year"
299,Principal Applied/ Data Scientist (w/ deep learning - NLP an...,Oracle,"Austin, TX 78741 (Riverside area)",3.8,
300,Senior Applied/ Data Scientist w/ deep learning- NLU and Com...,Oracle,"Austin, TX 78741 (Riverside area)",3.8,
301,Senior Applied/ Data Scientist w/ deep learning - NLP and Co...,Oracle,"Austin, TX 78741 (Riverside area)",3.8,
302,Data Scientist,Truist Financial,"Charlotte, NC 28269",3.6,
303,"Data Scientist, Machine Learning",Moveworks.ai,"Mountain View, CA",,
304,Data Scientist- Data & Relevancy,Wish,"San Francisco, CA 94103 (South of Market area)",4.0,
305,Clinical Data Scientist / Statistical Programmer,Denali Therapeutics,"South San Francisco, CA",,
306,Data Scientist,TruU,Colorado,,
307,Data Scientist,Serry Systems,"Arlington, VA 22203 (Bluemont area)",,
308,Marketing Data Scientist,Domino's,"Ann Arbor, MI 48106",3.6,
309,Senior Data Scientist,Auth0,Remote,,
310,Data Scientist,Advan Research Corporation,"New York, NY 10017 (Midtown area)",,
311,Data Scientist,Massachusetts General Hospital(MGH),"Boston, MA 02114 (West End area)",4.3,
312,Data Science Analyst,Michaels,"Irving, TX",3.6,
313,Associate Data Scientist- Ads (Remote Eligible - Americas),Spotify,"New York, NY",4.3,
314,Data Scientist,MEDSTAR HEALTH,"Washington, DC 20008 (Cleveland Park area)",3.7,
315,Data Scientist,QuaEra,"New York, NY 10018 (Garment District area)",,
316,Data Scientist,Cedars-Sinai,"Los Angeles, CA",4.2,
317,Data Scientist IBM Tech Re-Entry,IBM,"Armonk, NY",3.9,
318,"Data Scientist-Draper, UT",PFS-Prestige Financial Services,"Draper, UT 84020",3.4,
319,Data Scientist - Lumedic,Providence,"Seattle, WA 98194 (Downtown area)",3.9,
320,NLP Data Scientist Internship,Vee,New York State,3.9,
321,Data Scientist,Abiomed,"Danvers, MA 01923",3.7,
322,Data Scientist,"Shaw Industries Group, Inc.","Dalton, GA 30721",3.9,
323,"Intern, Data Science",Scaled Agile,"Boulder, CO 80301",4.0,$18 - $25 an hour
324,Senior Data Scientist,Whole Foods Market,"Austin, TX 78746",,
325,Data Scientist I,Centene Corporation,"Clayton, MO",3.2,
326,Data Scientist,MMIT Network,"Livingston, NJ 07039",,
327,"Data Scientist, Data Sciences",Publicis Groupe,"Birmingham, MI 48009",3.7,
328,Data Scientist,CDK Global,"Hoffman Estates, IL 60169",3.2,
329,Data Scientist,Ford Motor Company,"Dearborn, MI",4.1,
330,Data Scientist,AditTech Consultants,"Atlanta, GA",,"$125,000 - $175,000 a year"
331,"Return to Work - Data Scientist, Product Analytics",Facebook,"Austin, TX (Downtown area)",4.2,
332,Data Scientist,Oak Grove Technologies,"Quantico, VA",4.2,
333,Data Scientist,Southern New Hampshire University,Remote,4.0,
334,Junior Data Scientist (NASA),Logistics Management Institute,"Washington, DC",3.9,
335,Junior Data Scientist,Trinco,"Beltsville, MD 20705",,$18 - $40 an hour
336,Data Scientist,TruU,Colorado,,
337,Data Scientist,Triplebyte Partner Companies,California,,
338,Data Scientist,Bunge,"Chesterfield, MO 63017",4.2,
339,Data Scientist,Massachusetts General Hospital(MGH),"Boston, MA 02114 (West End area)",4.3,
340,"Data Scientist, AppleCare Digital",Apple,"Austin, TX",4.2,
341,Data Scientist,Solvay,"Alpharetta, GA",3.9,
342,Sr. Data Scientist for Fin-Tech,SparkCognition,"Austin, TX 78759 (Arboretum area)",4.4,
343,Data Scientist,"Sony Pictures Entertainment, Inc.","Culver City, CA 90232 (Lucerne/Higuera area)",4.1,
344,Jr. Data Scientist,Pandata,"Cleveland, OH",,
345,DATA SCIENTIST,Union Hospital of Cecil County,"Elkton, MD 21921",3.5,
346,"Data Scientist, Apple Pay Analytics - Austin",Apple,"Austin, TX",4.2,
347,DDM ? Data Scientist,Biz2Credit Inc,"New York, NY 10119 (Chelsea area)",3.3,
348,Data Scientist Intern,AlignTech,California,3.8,
349,"Data Scientist, Medical Diagnostics",Specific Diagnostics,"Mountain View, CA 94043",,
350,Data Scientist,Ford Motor Company,"Dearborn, MI",4.1,
351,Data Scientist,BNY Mellon,"New York, NY 10286 (Tribeca area)",3.5,
