,title,company,rating,CITY,state,salary_year_mean
403,Data Scientist (Generalist),PicnicHealth,,San Francisco,CA,
404,"Data Scientist, Economics",Kaiser Permanente,4.1,Oakland,CA,
405,Data Scientist,PepsiCo,3.8,Plano,TX,
406,Data Scientist,"Sonalysts, Inc.",3.9,Waterford,CT,
407,Enterprise Data Scientist,Arvest,3.7,Bentonville,AR,
408,Data Scientist,The E.W. Scripps Company,3.4,Cincinnati,OH,
409,Data Scientist,Teladoc Health,3.0,Mountain View,CA,
410,Data Linguist-I,Amazon.com Services LLC,3.6,Cambridge,MA,
411,Data Scientist,Pricesenz,,Dallas,TX,78000.0
412,Data Scientist,Presage Security,,Reston,VA,
413,"Data Scientist, Economics",Kaiser Permanente,4.1,Oakland,CA,
414,Data Scientist,BSI Solutions,,Charlotte,NC,100000.0
415,Data Scientist,Syneos Health Commercial Solutions,3.9,New York,NY,
416,Data Scientist I Boulder,Sovrn Holdings,3.1,Boulder,CO,
417,"Data Scientist, Search",Upwork,4.0,Remote,REMOTE,
418,Senior Data Scientist,Splunk,4.2,Austin,TX,
419,Data Scientist,Hach,3.1,Loveland,CO,
420,Data Science Analyst - DART Program,Lithia Home Office,,Medford,OR,
421,"Data Scientist, RWD",Alldus,,Boston,MA,
422,DATA SCIENTIST,Decentrix,,Denver,CO,
423,Data Scientist,Charles River Associates,4.1,Boston,MA,
424,Data Scientist,Alaka`ina Foundation Family of Companies,3.4,San Antonio,TX,
425,Data Scientist / Machine Learning- Engineer,Hewlett Packard Enterprise,3.8,Houston,TX,
426,Data Scientist,Lyra Health,4.5,Burlingame,CA,
427,Data Scientist,RELX Group,4.1,Minneapolis,MN,
428,"Data Scientist, Machine Learning",Moveworks.ai,,Mountain View,CA,
429,Data Scientist (Generalist),PicnicHealth,,San Francisco,CA,
430,"Associate Data Scientist, FP&A - Automation & Tooling",Spotify,4.3,New York,NY,
431,Data Scientist,Corel,3.6,Remote,REMOTE,
432,Sr. Data Scientist,Caterpillar,3.9,Remote,REMOTE,
433,Data Scientist,MMIT Network,,Livingston,NJ,
434,Launch Data Specialist,Rubicon Global,3.2,Remote,REMOTE,39975.0
435,Data Scientist,Syneos Health Commercial Solutions,3.9,New York,NY,
436,"Data Scientist, Medical Diagnostics",Specific Diagnostics,,Mountain View,CA,
437,Data Scientist,Cloudflare,3.8,Austin,TX,
438,Data Analyst/Scientist/Engineer,Cascade Data Labs (a subsidiary of Kin + Carta),,Portland,OR,92500.0
439,Data Scientist,Sharecare Inc,3.4,New York,NY,
440,Enterprise Data Scientist,Arvest,3.7,Bentonville,AR,
441,Data Scientist,The E.W. Scripps Company,3.4,Cincinnati,OH,
442,Data Scientist,Teladoc Health,3.0,Mountain View,CA,
443,Data Linguist-I,Amazon.com Services LLC,3.6,Cambridge,MA,
444,Data Scientist,Pricesenz,,Dallas,TX,78000.0
445,Data Scientist,Presage Security,,Reston,VA,
446,"Data Scientist, Economics",Kaiser Permanente,4.1,Oakland,CA,
447,Data Scientist,BSI Solutions,,Charlotte,NC,100000.0
448,Data Scientist,Syneos Health Commercial Solutions,3.9,New York,NY,
